Id,Count,POINT_X,POINT_Y
0,3,529308.74142000000,181031.35154600000
0,2,529312.16357100000,181025.17240100000
0,1,529314.38242900000,181020.29368800000
0,1,529317.37964500000,181014.25877100000
0,4,529320.67544900000,181007.87162800000
0,2,529336.68415400000,181006.00624600000
0,2,529290.14676200000,181024.36597700000
0,2,529301.02286900000,181021.17630400000
0,3,529284.99867000000,181020.20361600000
0,2,529288.35938900000,181031.83006800000
0,2,529280.60923600000,181026.57168700000
0,1,529264.72089300000,181035.19791000000
0,3,529274.93195000000,181008.03777800000
0,1,529278.33502900000,181002.95226200000
0,4,529281.35012600000,180997.13428000000
0,1,529259.60980600000,181010.28340100000
0,1,529256.18292600000,181001.82936400000
0,1,529309.82320200000,181004.72540200000
0,4,529314.13218100000,180997.38111400000
0,3,529317.99714900000,180991.27468100000
0,2,529250.95785300000,181032.50998800000
0,1,529247.96895300000,181049.24639200000
0,2,529231.44834400000,181027.67472100000
0,2,529236.71088600000,181025.27530500000
0,2,529244.00154300000,181028.93347200000
0,1,529251.04600300000,181054.78070400000
0,1,529247.03680800000,181060.46220600000
0,3,529243.56995900000,181066.09901200000
0,1,529241.62468600000,181058.39651400000
0,1,529217.41108800000,181048.16103000000
0,1,529211.51976900000,181056.18176600000
0,1,529212.34048300000,181038.31357700000
0,2,529191.30044500000,181046.70914800000
0,2,529184.24579600000,181041.93947000000
0,1,529160.33737900000,181014.20588100000
0,1,529228.34151600000,181015.15369000000
0,1,529187.27296900000,180983.26485500000
0,1,529213.09100100000,180978.51613800000
0,2,529213.96593100000,180970.58121300000
0,8,529222.82520200000,180978.69675300000
0,2,529233.12258500000,180985.71091800000
0,1,529221.10159500000,180985.60956300000
0,1,529275.92278300000,180965.22560900000
0,1,529262.09637400000,180970.83817000000
0,1,529299.77019400000,180931.94877900000
0,1,529304.18801600000,180925.24784600000
0,4,529307.83212100000,180921.21996700000
0,1,529302.22901700000,180919.56945900000
0,1,529293.01568300000,180929.89615700000
0,1,529319.48413400000,180915.92682100000
0,1,529330.51632400000,180923.87608400000
0,4,529335.36111700000,180928.91843500000
0,1,529331.11030100000,180915.72796100000
0,1,529345.12746000000,180912.29486200000
0,1,529350.17323500000,180915.16930800000
0,1,529353.68651800000,180910.19743300000
0,1,529377.15630100000,180935.47133600000
0,2,529362.93261800000,180947.14717700000
0,1,529371.70505700000,180952.24548000000
0,1,529326.33969100000,180980.48311000000
0,1,529338.14526500000,180959.43300600000
0,2,529346.00752600000,180961.35305100000
0,1,529349.72272500000,180955.44394000000
0,1,529352.81872400000,180950.51968000000
0,2,529337.87893200000,180976.03028000000
0,2,529335.35368600000,180990.71262500000
0,1,529341.92021900000,180993.90673100000
0,2,529347.42545800000,180995.55411600000
0,3,529352.88992000000,180999.53941400000
0,1,529367.76080700000,181007.18513200000
0,4,529374.09545800000,181010.39834600000
0,15,529383.54010300000,181014.52252600000
0,3,529389.12178200000,181017.09743000000
0,4,529394.06515100000,181020.42530500000
0,5,529409.15013700000,181005.17476800000
0,2,529420.93147100000,180989.49614100000
0,1,529414.68093400000,180978.80543200000
0,2,529407.84430600000,180975.16667800000
0,1,529402.64994900000,180971.62603100000
0,1,529395.83243000000,180968.21915600000
0,1,529387.66440800000,180962.58903000000
0,1,529377.12025400000,180956.45436500000
0,1,529419.34275900000,180973.05176300000
0,1,529400.92491100000,180956.36016100000
0,1,529404.27445600000,180948.84700200000
0,1,529415.33969800000,180955.63908600000
0,1,529420.99149100000,180944.90127400000
0,1,529414.93717700000,180930.92602100000
0,1,529419.23079500000,180926.36997500000
0,1,529431.70187300000,180928.43148900000
0,1,529435.68639000000,180922.79885800000
0,2,529438.60918600000,180916.74041400000
0,1,529443.81512000000,180907.24281700000
0,1,529424.17927400000,180916.04748700000
0,4,529450.83923500000,180876.20727600000
0,2,529456.31029000000,180886.53598900000
0,1,529460.46475900000,180880.88935500000
0,4,529466.41865200000,180874.23890100000
0,4,529508.13216100000,180865.49689600000
0,1,529505.90592500000,180884.15967700000
0,4,529488.02837400000,180905.99449700000
0,1,529487.21601100000,180896.13737100000
0,1,529482.70763700000,180901.64206600000
0,2,529461.33016700000,180941.21802700000
0,1,529453.98027800000,180941.31044900000
0,2,529446.46507200000,180951.85388900000
0,3,529442.33861900000,180957.84042800000
0,1,529436.44075500000,180965.17069100000
0,4,529431.77643700000,180970.85934900000
0,1,529438.42877200000,180974.75982600000
0,1,529434.34433900000,180981.25621800000
0,7,529491.09061200000,180963.39261000000
0,3,529505.20426100000,180972.50820400000
0,8,529539.21293200000,180938.66353800000
0,1,529548.70669000000,180901.69988700000
0,1,529517.75646100000,180902.81159100000
0,5,529505.98950400000,181006.98013500000
0,8,529555.15290300000,180997.37780500000
0,2,529547.09416800000,181009.34860100000
0,1,529552.03509400000,181001.95183800000
0,1,529540.75758200000,181017.27153900000
0,2,529537.34919400000,181023.30854800000
0,1,529532.37236300000,181032.76402500000
0,2,529528.93032000000,181038.39265800000
0,2,529494.93183500000,181042.42810600000
0,3,529519.16518600000,181037.14170200000
0,1,529500.77923700000,181048.52460000000
0,2,529487.98942900000,181043.00026700000
0,2,529507.15281400000,181056.01675600000
0,3,529457.01569200000,181013.89436600000
0,1,529459.87883100000,181008.72459100000
0,2,529461.50001100000,181003.45159700000
0,1,529468.34820100000,180994.25303900000
0,1,529471.46601400000,180989.67900300000
0,1,529478.77756700000,180976.12517700000
0,1,529454.73146200000,181018.60528000000
0,3,529439.16148200000,181039.21257100000
0,3,529432.93710700000,181036.02519600000
0,3,529426.90009200000,181032.61680400000
0,3,529514.43433000000,180944.81715400000
0,1,529528.77799700000,180944.25175500000
0,2,529521.70322200000,180940.72331400000
0,1,529514.59479000000,180936.78649500000
0,1,529618.11350500000,181008.01818900000
0,1,529632.95750300000,181018.51259600000
0,2,529631.02559100000,181010.03766400000
0,1,529655.88938100000,181022.37875900000
0,1,529581.21232200000,181052.35716600000
0,1,529577.93731500000,181061.39828400000
0,2,529569.98120400000,181062.41945800000
0,2,529574.80196500000,181049.96174300000
0,1,529561.40276800000,181082.49620700000
0,1,529565.28410900000,181071.94324700000
0,1,529531.77231200000,181068.85767200000
0,1,529525.98221400000,181082.85715100000
0,1,529509.91240400000,181091.85636800000
0,1,529516.87132900000,181056.56346000000
0,1,529518.30928300000,181105.05208600000
0,5,529565.35787300000,181090.57598600000
0,1,529571.08813300000,181075.85050800000
0,1,529554.33253300000,181109.60855200000
0,2,529548.37224300000,181118.51008700000
0,2,529545.95177900000,181124.54529900000
0,1,529533.49073800000,181127.46032100000
0,1,529553.39765900000,181137.83439800000
0,1,529566.31861000000,181144.66489300000
0,1,529567.68433300000,181142.49266700000
0,2,529573.93217600000,181145.41052200000
0,2,529572.73693400000,181147.56869700000
0,5,529590.69455700000,181161.36455900000
0,1,529583.76479100000,181158.50290800000
0,1,529588.86704400000,181155.85109100000
0,1,529597.41544100000,181159.60917400000
0,1,529595.90546300000,181164.19623400000
0,4,529600.69110400000,181166.03312300000
0,1,529608.38709500000,181169.86145700000
0,2,529615.15012900000,181168.61751400000
0,1,529620.19055300000,181171.46323800000
0,1,529541.68503400000,181306.21327700000
0,1,529489.04182800000,181233.68667000000
0,1,529479.71385700000,181228.34513600000
0,1,529437.15290700000,181190.46934000000
0,3,529382.83265600000,181191.89107700000
0,1,529397.95083100000,181200.08831600000
0,1,529463.68932000000,181155.23101400000
0,2,529468.19260900000,181182.91179500000
0,1,529518.81439200000,181153.46521800000
0,1,529530.65397200000,181152.21169900000
0,1,529520.61507400000,181195.53354900000
0,1,529460.48199100000,181143.27470900000
0,1,529470.31925800000,181144.68589200000
0,2,529464.44115800000,181137.39357200000
0,1,529480.95687100000,181125.47822100000
0,1,529469.78573800000,181124.73245200000
0,2,529485.24041500000,181116.79293500000
0,3,529477.10686600000,181112.46391800000
0,2,529424.30898300000,181139.03496900000
0,1,529417.32437200000,181135.16674300000
0,1,529424.06037300000,181159.60836300000
0,1,529431.25264400000,181162.62624700000
0,1,529437.25049900000,181164.63160200000
0,1,529420.78935700000,181167.09924000000
0,2,529410.15025100000,181162.69898000000
0,3,529374.73454700000,181154.23039100000
0,3,529375.65464900000,181128.32454600000
0,1,529384.73252800000,181130.63154500000
0,1,529386.75610900000,181104.63476000000
0,3,529392.30983300000,181114.73124200000
0,1,529391.70811300000,181093.95018200000
0,1,529432.38803200000,181102.26267600000
0,1,529443.69254900000,181107.99680900000
0,1,529448.88553300000,181110.34624300000
0,2,529455.36387600000,181114.81167700000
0,2,529451.36931200000,181103.47543100000
0,4,529440.45434500000,181099.09790200000
0,5,529434.27460600000,181094.88559800000
0,2,529429.40296200000,181093.06516300000
0,5,529477.25091800000,181080.51174200000
0,5,529484.45073100000,181100.47125400000
0,3,529470.61039000000,181077.44838200000
0,3,529463.94712500000,181074.10915400000
0,1,529454.66463300000,181069.31934000000
0,5,529448.50763200000,181065.38290300000
0,4,529442.48704600000,181063.10167500000
0,4,529427.09302300000,181054.92715600000
0,1,529402.32556100000,181040.85934200000
0,4,529395.70776500000,181038.07184500000
0,1,529389.59623300000,181034.68714100000
0,3,529381.85222800000,181031.71471800000
0,2,529376.70775500000,181026.58385900000
0,1,529357.39697800000,181028.17535800000
0,2,529396.28820400000,181082.18498400000
0,1,529406.49228700000,181084.67691100000
0,1,529347.42474600000,181048.71690900000
0,2,529343.44283200000,181054.32218000000
0,3,529339.59125600000,181068.24897400000
0,1,529281.65183000000,181086.35601000000
0,1,529347.10996700000,181071.79575200000
0,4,529303.99121300000,181040.63162400000
0,2,529293.39599300000,181063.72421100000
0,2,529286.64481300000,181055.94834300000
0,1,529284.20138900000,181063.37101800000
0,5,529296.32587800000,181102.64440400000
0,3,529306.25551300000,181179.31614200000
0,2,529320.31873300000,181184.82291500000
0,3,529362.66455200000,181156.05838200000
0,2,529365.15189100000,181176.12856000000
0,1,529274.16504400000,180907.31259800000
0,1,529299.36133500000,180873.18466300000
0,1,529324.81519600000,180857.94873600000
